id,name,type,parent_id
"PROF Root","PROF Root","PROF Level","eCat Philips"
"PROF-ECCONTRO","Lighting Controls","PROF Level","PROF Root"
"PROF-OUTMSYS","Outdoor Lighting Management Systems","PROF Level","PROF-ECCONTRO"
"PROF-INBSYS","Installer Based Systems","PROF Level","PROF-ECCONTRO"
"PROF-ECLMSYS","Dynalite","PROF Level","PROF-ECCONTRO"
"PROF-ECSACON","Installer Based Smart Sensors","PROF Level","PROF-ECCONTRO"
"PROF-ECLBCON","Luminaire Based Systems","PROF Level","PROF-ECCONTRO"
"PROF-ECINDACC","Indoor Accessories","PROF Level","PROF-ECCONTRO"
"PROF-ECSSBS","Color Kinetics Controls","PROF Level","PROF-ECCONTRO"
"PROF-ECOUTLBC","Outdoor Stand Alone","PROF Level","PROF-ECCONTRO"
"PROF-LCMODULARW","Modular Wiring","PROF Level","PROF-ECCONTRO"
"PROF-LCSRSOL","Standalone & Room Solutions","PROF Level","PROF-ECCONTRO"
"PROF-EP01","Conventional Lamps and Tubes","PROF Level","PROF Root"
"PROF-EP01LCFN","Compact Fluorescent Non Integrated","PROF Level","PROF-EP01"
"PROF-EP01LPLQ","PL-Q","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLC","PL-C","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLT","PL-T","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLS","PL-S","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLL","PL-L","PROF Level","PROF-EP01LCFN"
"PROF-EP01LPLR","PL-R","PROF Level","PROF-EP01LCFN"
"PROF-SPLAMPS","Special Lamps","PROF Level","PROF-EP01"
"PROF-MLMP","Medical Lamps","PROF Level","PROF-SPLAMPS"
"PROF-MLMPUVA","Medical therapy UVA (PUVA)","PROF Level","PROF-MLMP"
"PROF-MLMPUVBN","Medical therapy UVB Narrow band","PROF Level","PROF-MLMP"
"PROF-MLMPUVBB","Medical Therapy UVB Broad band","PROF Level","PROF-MLMP"
"PROF-MLMPMTJ","Medical therapy Jaundice","PROF Level","PROF-MLMP"
"PROF-INSECTT","Insect Trap","PROF Level","PROF-SPLAMPS"
"PROF-INSACTBL","Actinic BL","PROF Level","PROF-INSECTT"
"PROF-INSACBLS","Actinic BL Secura","PROF Level","PROF-INSECTT"
"PROF-MINACBLS","MASTER Actinic BL Secura","PROF Level","PROF-INSECTT"
"PROF-MINACTBL","MASTER Actinic BL","PROF Level","PROF-INSECTT"
"PROF-GX01UVHR","Reprography","PROF Level","PROF-SPLAMPS"
"PROF-GX01ROFF","Offset print","PROF Level","PROF-GX01UVHR"
"PROF-GX01RFLE","Flexo print","PROF Level","PROF-GX01UVHR"
"PROF-GX01SCIE","Optical & medical equipment","PROF Level","PROF-SPLAMPS"
"PROF-SCIEHID","HID","PROF Level","PROF-GX01SCIE"
"PROF-SCIEHAL","Halogen","PROF Level","PROF-GX01SCIE"
"PROF-GX01ENT","Entertainment","PROF Level","PROF-SPLAMPS"
"PROF-GX01FILM","Film/Studio","PROF Level","PROF-GX01ENT"
"PROF-GX01THEA","Theater","PROF Level","PROF-GX01ENT"
"PROF-GX01DJ","DJ/Club","PROF Level","PROF-GX01ENT"
"PROF-GX01ARCH","Architainment","PROF Level","PROF-GX01ENT"
"PROF-GX01TOUR","Touring/Stage","PROF Level","PROF-GX01ENT"
"PROF-GX01DISI","Purification(water and air)","PROF Level","PROF-SPLAMPS"
"PROF-GX01DRES","Residential water and air","PROF Level","PROF-GX01DISI"
"PROF-GX01DMUN","Municipal and industrial water","PROF Level","PROF-GX01DISI"
"PROF-GX01DCOM","Commercial and professional air","PROF Level","PROF-GX01DISI"
"PROF-GX01IR","InfraRed","PROF Level","PROF-SPLAMPS"
"PROF-CINEMA","Cinema","PROF Level","PROF-SPLAMPS"
"PROF-DLTIDI","Digital Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-DLTIHE","Helios Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-DLTIST","Standard Cinema Xenon","PROF Level","PROF-CINEMA"
"PROF-EP01LTRF","Traffic Lamps","PROF Level","PROF-SPLAMPS"
"PROF-BLB","Colored and BlackLightBlue (BLB)","PROF Level","PROF-SPLAMPS"
"PROF-LP01LINC","Incandescent Lamps","PROF Level","PROF-EP01"
"PROF-EP01ISTD","Standard (T/A/E-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ICAN","Candle (B-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ILUS","Lustre (P-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01IGLB","Globe (G-shape)","PROF Level","PROF-LP01LINC"
"PROF-EP01ITUB","Tubular (T-shape)","PROF Level","PROF-LP01LINC"
"PROF-LP01LPRA","Domestic Appliances","PROF Level","PROF-LP01LINC"
"PROF-LP01LSPO","Reflector (NR/R/PAR/E/A/P/PC-shape)","PROF Level","PROF-LP01LINC"
"PROF-LP01IGLS","GLS Specialties","PROF Level","PROF-LP01LINC"
"PROF-EP01LSSL","LED Lamps and Systems","PROF Level","PROF-EP01"
"PROF-EP01LHID","High Intensity Discharge Lamps","PROF Level","PROF-EP01"
"PROF-EP01LSON","SON High Pressure Sodium","PROF Level","PROF-EP01LHID"
"PROF-EP01LHPL","HPL High Pressure Mercury","PROF Level","PROF-EP01LHID"
"PROF-EP01LSOX","SOX Low Pressure Sodium","PROF Level","PROF-EP01LHID"
"PROF-EP01LML","ML Mixed Light","PROF Level","PROF-EP01LHID"
"PROF-EP01LMHN","Quartz Metal Halide","PROF Level","PROF-EP01LHID"
"PROF-EP01LCDO","Ceramic Metal Halide","PROF Level","PROF-EP01LHID"
"PROF-HIDHORTI","HID Horticulture","PROF Level","PROF-EP01LHID"
"PROF-EP01LHAL","Halogen Lamps","PROF Level","PROF-EP01"
"PROF-EP01LLVC","LV Halogen without Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LDIR","LV Halogen with Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LMVC","MV Halogen with Reflector","PROF Level","PROF-EP01LHAL"
"PROF-EP01LMVD","MV Halogen without Reflector","PROF Level","PROF-EP01LHAL"
"PROF-FLLMPST","Fluorescent Lamps and Starters","PROF Level","PROF-EP01"
"PROF-EP01LTL5","TL5","PROF Level","PROF-FLLMPST"
"PROF-EP01LTLD","TL-D","PROF Level","PROF-FLLMPST"
"PROF-EP01LTL","TL","PROF Level","PROF-FLLMPST"
"PROF-EP01LTMI","TL Miniature","PROF Level","PROF-FLLMPST"
"PROF-FLSTARTE","Starters for Fluorescent Lamps","PROF Level","PROF-FLLMPST"
"PROF-EP01LCFI","Compact Fluorescent Integrated","PROF Level","PROF-EP01"
"PROF-EP01LAMB","Energy Saver Bulb shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LPL","Energy Saver Stick shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LSL","Energy Saver Specialties","PROF Level","PROF-EP01LCFI"
"PROF-EP01ESR","Energy Saver Reflectors","PROF Level","PROF-EP01LCFI"
"PROF-EP01TWIST","Energy Saver Twister shape","PROF Level","PROF-EP01LCFI"
"PROF-EP01LCHD","Compact High Intensity Discharge","PROF Level","PROF-EP01"
"PROF-EP01LCDM","MASTERColour CDM","PROF Level","PROF-EP01LCHD"
"PROF-EP01LSDW","MASTER SDW White SON","PROF Level","PROF-EP01LCHD"
"PROF-EP01LMNW","MHN Low Wattage Metal Halide","PROF Level","PROF-EP01LCHD"
"PROF-DPLRMP","Lamp Replacement for Projection","PROF Level","PROF-EP01"
"PROF-DPLPRM","Lamp Replacement for Projectors","PROF Level","PROF-DPLRMP"
"PROF-DPLPTVRM","Lamp Replacement for TV’s","PROF Level","PROF-DPLRMP"
"PROF-CINDOOR","Indoor Luminaires","PROF Level","PROF Root"
"PROF-LESUSP","Suspended","PROF Level","PROF-CINDOOR"
"PROF-LESURF","Surface mounted","PROF Level","PROF-CINDOOR"
"PROF-CHLBAY","High-bay and low-bay","PROF Level","PROF-CINDOOR"
"PROF-OCHLBACC","High-bay and Low-bay accessories","PROF Level","PROF-CHLBAY"
"PROF-CILWBAY","Low-bay","PROF Level","PROF-CHLBAY"
"PROF-CIHLBAY","High-bay","PROF Level","PROF-CHLBAY"
"PROF-HLBPROTECTED","Protected","PROF Level","PROF-CHLBAY"
"PROF-HLBINDLIN","Industrial Linear","PROF Level","PROF-CHLBAY"
"PROF-CITRU-LL","Light-line systems","PROF Level","PROF-CINDOOR"
"PROF-OCMLLSYS","Maxos Light-line system","PROF Level","PROF-CITRU-LL"
"PROF-OCTLLSYS","TTX400 Light-line system","PROF Level","PROF-CITRU-LL"
"PROF-OCBLLSYS","Basic Light-line system","PROF Level","PROF-CITRU-LL"
"PROF-CWPCLNR","Waterproof and cleanroom","PROF Level","PROF-CINDOOR"
"PROF-OCWATBAT","Waterproof battens","PROF Level","PROF-CWPCLNR"
"PROF-CIWATER","Waterproof Luminaires","PROF Level","PROF-CWPCLNR"
"PROF-CICLEAN","Cleanroom","PROF Level","PROF-CWPCLNR"
"PROF-CIFLOOR","Free standing","PROF Level","PROF-CINDOOR"
"PROF-CIWALTL5","Wall mounted","PROF Level","PROF-CINDOOR"
"PROF-CDOWNL","Downlights","PROF Level","PROF-CINDOOR"
"PROF-DOWNGENPURP","General Purpose Downlighting","PROF Level","PROF-CDOWNL"
"PROF-DOWNCOMM","Commercial Downlighting","PROF Level","PROF-CDOWNL"
"PROF-DOWNSPEC","Specification Downlighting","PROF Level","PROF-CDOWNL"
"PROF-CIMULTI","Multiple lighting systems","PROF Level","PROF-CINDOOR"
"PROF-CIPROJ","Projectors","PROF Level","PROF-CINDOOR"
"PROF-IRESID","Indoor residential collection","PROF Level","PROF-CINDOOR"
"PROF-LIVING","Living","PROF Level","PROF-IRESID"
"PROF-BATHROOM","Bathroom","PROF Level","PROF-IRESID"
"PROF-HOMEOFF","Home office","PROF Level","PROF-IRESID"
"PROF-CREC","Recessed","PROF Level","PROF-CINDOOR"
"PROF-RECARCH","Architectural","PROF Level","PROF-CREC"
"PROF-RECGENPURPL","General Purpose Lensed","PROF Level","PROF-CREC"
"PROF-RECPARABOLIC","Parabolic","PROF Level","PROF-CREC"
"PROF-RECINDCLR","Industrial and Clean Room","PROF Level","PROF-CREC"
"PROF-RECSURFM","Surface Mount","PROF Level","PROF-CREC"
"PROF-RECASYMM","Asymmetric","PROF Level","PROF-CREC"
"PROF-CIBATT","Battens","PROF Level","PROF-CINDOOR"
"PROF-LUMSURF","Luminous Surfaces","PROF Level","PROF-CINDOOR"
"PROF-LINEAR","Linear","PROF Level","PROF-CINDOOR"
"PROF-LINSUSPENDED","Suspended","PROF Level","PROF-LINEAR"
"PROF-LINWALL","Linear Wall","PROF Level","PROF-LINEAR"
"PROF-LINRECESSED","Linear Recessed","PROF Level","PROF-LINEAR"
"PROF-LINCOVPER","Cove/Perimeter","PROF Level","PROF-LINEAR"
"PROF-LINSURFACE","Linear Surface","PROF Level","PROF-LINEAR"
"PROF-LINSTRIP","Strip","PROF Level","PROF-LINEAR"
"PROF-LINUNDERCAB","Undercabinet","PROF Level","PROF-LINEAR"
"PROF-LINWRAP","Wraparound","PROF Level","PROF-LINEAR"
"PROF-TRACK","Track","PROF Level","PROF-CINDOOR"
"PROF-TRACKRECMUL","Recessed Multiple Lighting","PROF Level","PROF-TRACK"
"PROF-TRACKHEADS","Track Heads","PROF Level","PROF-TRACK"
"PROF-TRACKSYSACC","Track Systems and Accessories","PROF Level","PROF-TRACK"
"PROF-DECORATIVE","Decorative","PROF Level","PROF-CINDOOR"
"PROF-DECORACC","Accessories","PROF Level","PROF-DECORATIVE"
"PROF-DECORDISP","Decorative Display","PROF Level","PROF-DECORATIVE"
"PROF-DECORSURF","Decorative Surface","PROF Level","PROF-DECORATIVE"
"PROF-DECORPENDANTS","Pendants","PROF Level","PROF-DECORATIVE"
"PROF-DECORWALL","Wall Sconces","PROF Level","PROF-DECORATIVE"
"PROF-HEALTH","Healthcare","PROF Level","PROF-CINDOOR"
"PROF-HEALTHBED","Bed Lights","PROF Level","PROF-HEALTH"
"PROF-HEALTHNIGHT","Night Lights","PROF Level","PROF-HEALTH"
"PROF-HEALTHPATIENTRR","Patient Room Recessed","PROF Level","PROF-HEALTH"
"PROF-HEALTHSPECIAL","Specialty Healthcare","PROF Level","PROF-HEALTH"
"PROF-HEALTHSURGICAL","Surgical Troffers","PROF Level","PROF-HEALTH"
"PROF-EXIT","Exit Emergency","PROF Level","PROF-CINDOOR"
"PROF-EXITSIGNS","Exit Signs","PROF Level","PROF-EXIT"
"PROF-EXITARCH","Emergency Architectural","PROF Level","PROF-EXIT"
"PROF-EXITCOMM","Emergency Commercial","PROF Level","PROF-EXIT"
"PROF-EXITSTEPL","Step- and NightLight","PROF Level","PROF-EXIT"
"PROF-EXITEMB","Emergency Ballasts","PROF Level","PROF-EXIT"
"PROF-EXITPOWSYS","Power Systems","PROF Level","PROF-EXIT"
"PROF-EXITREMACC","Remotes - Accessories","PROF Level","PROF-EXIT"
"PROF-EXITCCPROD","Chicago Code Products","PROF Level","PROF-EXIT"
"PROF-EXITNYCPROD","New York City Products","PROF Level","PROF-EXIT"
"PROF-EXITINDHAZ","Industrial - Hazardous","PROF Level","PROF-EXIT"
"PROF-SECIALAPPL","Special Application","PROF Level","PROF-CINDOOR"
"PROF-FOODPROC","Food Processing","PROF Level","PROF-SECIALAPPL"
"PROF-SPECIALSEC","Maximum Security Protected","PROF Level","PROF-SECIALAPPL"
"PROF-SECIALVANDALRES","Vandal Resistant","PROF Level","PROF-SECIALAPPL"
"PROF-RECRETROFIT","Retrofit","PROF Level","PROF-CINDOOR"
"PROF-COREINTREADY","CoreLine Interact Ready","PROF Level","PROF-CINDOOR"
"PROF-GE01","Lighting Electronics","PROF Level","PROF Root"
"PROF-GE01GAL","LED Electronic Drivers","PROF Level","PROF-GE01"
"PROF-GE01GAH","Halogen electronic transformers","PROF Level","PROF-GE01"
"PROF-GE01GAD","HID","PROF Level","PROF-GE01"
"PROF-GE01GCA","Capacitors","PROF Level","PROF-GE01GAD"
"PROF-GE01GDEM","HID Electromagnetic","PROF Level","PROF-GE01GAD"
"PROF-GE01GCTR","Controllers","PROF Level","PROF-GE01GAD"
"PROF-GE01GIGN","Ignitors","PROF Level","PROF-GE01GAD"
"PROF-GE01GDOD","HID Electronic Outdoor","PROF Level","PROF-GE01GAD"
"PROF-GE01GDID","HID Electronic Indoor","PROF Level","PROF-GE01GAD"
"PROF-GE01GDHC","HID Electronic Horticulture","PROF Level","PROF-GE01GAD"
"PROF-GE01GAF","Fluorescent","PROF Level","PROF-GE01"
"PROF-GE01GFEM","Fluorescent electromagnetic","PROF Level","PROF-GE01GAF"
"PROF-GE01GFEF","Fluorescent Fixed Output gear","PROF Level","PROF-GE01GAF"
"PROF-GE01GFED","Fluorescent Dimming gear","PROF Level","PROF-GE01GAF"
"PROF-OCOUTD","Outdoor Luminaires","PROF Level","PROF Root"
"PROF-NROAD","Road and Urban Lighting","PROF Level","PROF-OCOUTD"
"PROF-BOLLARDS","Bollards","PROF Level","PROF-NROAD"
"PROF-BOLLARDARCH","Architectural Bollards","PROF Level","PROF-BOLLARDS"
"PROF-BOLLARDLAND","Landscape Bollards","PROF Level","PROF-BOLLARDS"
"PROF-BOLLRDURBAN","Urban Bollards","PROF Level","PROF-BOLLARDS"
"PROF-MASTBRA","Poles and brackets","PROF Level","PROF-NROAD"
"PROF-NROADLUM","Road and Urban Luminaires","PROF Level","PROF-NROAD"
"PROF-ROADHMOR","High Mast","PROF Level","PROF-NROADLUM"
"PROF-ROADOFFROAD","Off Road","PROF Level","PROF-NROADLUM"
"PROF-ROADARCH","Architectural Roadway","PROF Level","PROF-NROADLUM"
"PROF-ROADCOBRA","Cobra Heads","PROF Level","PROF-NROADLUM"
"PROF-URBAN","Urban","PROF Level","PROF-NROAD"
"PROF-URBANLICOL","Light Columns","PROF Level","PROF-URBAN"
"PROF-URBANPENDANT","Pendants","PROF Level","PROF-URBAN"
"PROF-URBANPOSTTOP","PostTop","PROF Level","PROF-URBAN"
"PROF-URBANSAMOUNT","Side Arm Mount","PROF Level","PROF-URBAN"
"PROF-URBANACC","Urban Accessories","PROF Level","PROF-URBAN"
"PROF-PBURBAN","Urban Arm Brackets","PROF Level","PROF-URBAN"
"PROF-PBURBANB","Urban Bases","PROF Level","PROF-URBAN"
"PROF-PBURBANPA","Urban Pole Accessories","PROF Level","PROF-URBAN"
"PROF-PBURBANP","Urban Poles","PROF Level","PROF-URBAN"
"PROF-TUNNEL","Tunnel and Underpass lighting","PROF Level","PROF-OCOUTD"
"PROF-PROJECT","Architectural floodlighting","PROF Level","PROF-OCOUTD"
"PROF-PROJALIN","Linear lighting","PROF Level","PROF-PROJECT"
"PROF-PROJAFLD","Floodlighting","PROF Level","PROF-PROJECT"
"PROF-FLOODARCH","Architectural Floodlights","PROF Level","PROF-PROJAFLD"
"PROF-FLOODGEN","General Purpose Floodlights","PROF Level","PROF-PROJAFLD"
"PROF-FLOODIND","Industrial Floodlights","PROF Level","PROF-PROJAFLD"
"PROF-FLOODMARINE","Marine Grade and Hazardous Floodlights","PROF Level","PROF-PROJAFLD"
"PROF-MARKGRUN","Markers inground and underwater","PROF Level","PROF-PROJECT"
"PROF-NDIRECT","Direct View lighting","PROF Level","PROF-PROJECT"
"PROF-ORESID","Outdoor residential collection","PROF Level","PROF-OCOUTD"
"PROF-NSPAREA","Sports and Area floodlighting","PROF Level","PROF-OCOUTD"
"PROF-NHESL","High-end sports floodlighting","PROF Level","PROF-NSPAREA"
"PROF-NARSL","Area and Recreational floodlighting","PROF Level","PROF-NSPAREA"
"PROF-NSECUL","Security lighting","PROF Level","PROF-NSPAREA"
"PROF-SOLAR","Solar","PROF Level","PROF-OCOUTD"
"PROF-GARCAN","Garage & Canopy","PROF Level","PROF-OCOUTD"
"PROF-ARCHSURFCAN","Architectural Surface Canopy","PROF Level","PROF-GARCAN"
"PROF-PARKGARCAN","Parking Garage and Canopy","PROF Level","PROF-GARCAN"
"PROF-RECCAN","Recessed Canopy","PROF Level","PROF-GARCAN"
"PROF-LANDSCAPE","Landscape","PROF Level","PROF-OCOUTD"
"PROF-LANDACCENT","Accent Lighting","PROF Level","PROF-LANDSCAPE"
"PROF-BEACONS","Beacons","PROF Level","PROF-LANDSCAPE"
"PROF-LANDDECK","Deck Lighting","PROF Level","PROF-LANDSCAPE"
"PROF-LANDINGROUND","Inground / Ingrade","PROF Level","PROF-LANDSCAPE"
"PROF-LANDACC","Landscape Accessories","PROF Level","PROF-LANDSCAPE"
"PROF-LANDBOLLARDS","Landscape Bollards","PROF Level","PROF-LANDSCAPE"
"PROF-LANDFLOOD","Mini Flood / Wall Washer","PROF Level","PROF-LANDSCAPE"
"PROF-LANDSTEP","Step Lighting","PROF Level","PROF-LANDSCAPE"
"PROF-LANDTRANSFORMERS","Transformers / Power Supply","PROF Level","PROF-LANDSCAPE"
"PROF-LANDUNDERWATER","Underwater","PROF Level","PROF-LANDSCAPE"
"PROF-LANDPATH","Path Lighting","PROF Level","PROF-LANDSCAPE"
"PROF-SPECPURP","Special Purpose","PROF Level","PROF-OCOUTD"
"PROF-SPECPURPVAPOR","Vaportight","PROF Level","PROF-SPECPURP"
"PROF-SITEAREA","Site & Area","PROF Level","PROF-OCOUTD"
"PROF-SITEAREAARCH","Architectural Arm Mount","PROF Level","PROF-SITEAREA"
"PROF-SITEAREAARCHPOST","Architectural PostTop","PROF Level","PROF-SITEAREA"
"PROF-SITEAREAGENERAL","General Purpose Arm Mount","PROF Level","PROF-SITEAREA"
"PROF-PBSITE","Site and Area Poles","PROF Level","PROF-SITEAREA"
"PROF-FACADE","Facade Lighting","PROF Level","PROF-OCOUTD"
"PROF-FACADEWALL","Wall Sconces","PROF Level","PROF-FACADE"
"PROF-FACADEWALLP","Wall Packs","PROF Level","PROF-FACADE"
"PROF-FACADECYL","Cylinders","PROF Level","PROF-FACADE"
"PROF-FACADERLM","RLM Shades","PROF Level","PROF-FACADE"
"PROF-LED","LED lamps and tubes","PROF Level","PROF Root"
"PROF-EP01LTUB","LED tubes","PROF Level","PROF-LED"
"PROF-GS01LDM","LED Display Lighting Systems","PROF Level","PROF-LED"
"PROF-GS01LFM","LED Freezer System","PROF Level","PROF-LED"
"PROF-LEDPL","LED PL lamps","PROF Level","PROF-LED"
"PROF-LEDSPOT","LED spots","PROF Level","PROF-LED"
"PROF-LEDCAPSPEC","LED capsules and specials","PROF Level","PROF-LED"
"PROF-LEDBULB","LED bulbs","PROF Level","PROF-LED"
"PROF-LEDCANLUS","LED candles and lusters","PROF Level","PROF-LED"
"PROF-LEDHID","LED HID replacement","PROF Level","PROF-LED"
"COMF-2837","Iridium, brackets","Commercial Family","PROF-MASTBRA"
"COMF-2849","ConTempo Accessories","Commercial Family","PROF-NARSL"
"COMF-2836","Metronomis, masts and brackets","Commercial Family","PROF-MASTBRA"
"COMF-2848","ArenaVision Accessories","Commercial Family","PROF-NHESL"
"COMF-3298","FlowLine driver units","Commercial Family","PROF-TUNNEL"
"COMF-2846","Babo ZVF340","Commercial Family","PROF-NARSL"
"COMF-1647","ArenaVision Gear EVF403/404","Commercial Family","PROF-NHESL"
"COMF-2847","ZVF350","Commercial Family","PROF-NARSL"
"COMF-2845","ZVF330","Commercial Family","PROF-NARSL"
"COMF-1631","High Power GearUnits","Commercial Family","PROF-NARSL PROF-NHESL"
"COMF-2850","SLS1500 Accessories","Commercial Family","PROF-NARSL"
"COMF-1636","Pole gear trays EGS350","Commercial Family","PROF-NROADLUM"
"COMF-2805","MBR/MBS902 Accessories","Commercial Family","PROF-NARSL"
"COMF-1643","Urbana","Commercial Family","PROF-NROADLUM"
"COMF-2804","DecoScene DBP521/522/523 accessories","Commercial Family","PROF-MARKGRUN"
"COMF-2028","Party Lustre P45","Commercial Family","PROF-LP01IGLS"
"COMF-61661","SPOTONE Ring Mirror Spotline","Commercial Family","PROF-LP01LSPO"
"COMF-1976","Natural Reflector Flood","Commercial Family","PROF-LP01IGLS"
"COMF-61660","SPOTONE Ring Mirror Standard","Commercial Family","PROF-LP01LSPO"
"COMF-1983","Reflector Infrared R40","Commercial Family","PROF-LP01LSPO"
"COMF-2073","Softone Standard T-shape","Commercial Family","PROF-EP01ISTD"
"COMF-61657","CLASSICTONE Lustre","Commercial Family","PROF-EP01ILUS"
"COMF-2032","Standard Lustre P45 frosted","Commercial Family","PROF-EP01ILUS"
"COMF-1973","Natural Light Three Way","Commercial Family","PROF-LP01IGLS"
"COMF-1979","Reflector Agro","Commercial Family","PROF-LP01IGLS"
"COMF-2070","Standard A-shape clear","Commercial Family","PROF-EP01ISTD"
"COMF-1999","Rough / Vibration Service","Commercial Family","PROF-LP01IGLS"
"COMF-1995","Colors","Commercial Family","PROF-EP01ISTD"
"COMF-2015","Deco Candle Twisted BW-shape frosted","Commercial Family","PROF-EP01ICAN"
"COMF-1970","Industrial Service","Commercial Family","PROF-LP01IGLS"
"COMF-61659","PARTYTONE PAR38 Colour","Commercial Family","PROF-LP01LSPO"
"COMF-2001","DuraMax Three Way","Commercial Family","PROF-EP01ISTD"
"COMF-1971","Indicator","Commercial Family","PROF-LP01IGLS"
"COMF-2062","Reflector diam 63 mm","Commercial Family","PROF-LP01LSPO"
"COMF-1994","Frost / Clear","Commercial Family","PROF-EP01ISTD"
"COMF-1955","Appliance","Commercial Family","PROF-LP01IGLS"
"COMF-2017","Standard Extra Low Voltage A60","Commercial Family","PROF-LP01IGLS"
"COMF-2002","Soft White Three Way","Commercial Family","PROF-EP01ISTD"
"COMF-1998","Standard Life PS","Commercial Family","PROF-EP01ISTD"
"COMF-61664","CLASSICTONE Superlux","Commercial Family","PROF-EP01ISTD"
"COMF-1977","Reflector BR38 Flood","Commercial Family","PROF-LP01LSPO"
"COMF-1997","DuraMax Clear","Commercial Family","PROF-EP01ISTD"
"COMF-1960","DuraMax Deco Globe","Commercial Family","PROF-EP01IGLB"
"COMF-1965","DuraMax Reflector Flood","Commercial Family","PROF-LP01LSPO"
"COMF-1988","Silicone Coated A","Commercial Family","PROF-LP01IGLS"
"COMF-1996","Director","Commercial Family","PROF-EP01ISTD"
"COMF-2061","Reflector diam 39 mm","Commercial Family","PROF-LP01LSPO"
"COMF-2078","Appliance Refrigerator Tubular","Commercial Family","PROF-LP01LPRA"
"COMF-61656","CLASSICTONE Candle","Commercial Family","PROF-EP01ICAN"
"COMF-2033","Appliance Oven P45","Commercial Family","PROF-LP01LPRA"
"COMF-1982","Reflector Infrared BR40,PAR38","Commercial Family","PROF-LP01LSPO"
"COMF-2014","Standard Candle B35 frosted","Commercial Family","PROF-EP01ICAN"
"COMF-1958","DuraMax Deco Bent Tip","Commercial Family","PROF-EP01ICAN"
"COMF-2024","InfraRed Healthcare Heat Incandescent","Commercial Family","PROF-GX01IR"
"COMF-2079","Appliance Sewing Machine Tubular","Commercial Family","PROF-LP01LPRA"
"COMF-1293","Softone","Commercial Family","PROF-EP01ISTD"
"COMF-2067","Reflector diam 80/90/95/125 mm","Commercial Family","PROF-LP01LSPO"
"COMF-1986","Reflector PAR38 Krypton","Commercial Family","PROF-LP01LSPO"
"COMF-2013","Standard Candle B35 clear","Commercial Family","PROF-EP01ICAN"
"COMF-2004","Switchboard","Commercial Family","PROF-LP01IGLS"
"COMF-61658","SPOTONE PAR38","Commercial Family","PROF-LP01LSPO"
"COMF-2075","Deco Tubular","Commercial Family","PROF-EP01ITUB"
"COMF-1968","DuraMax Fan","Commercial Family","PROF-EP01ISTD"
"COMF-1978","Reflector BR38 Vibration Service","Commercial Family","PROF-LP01LSPO"
"COMF-1966","DuraMax Reflector Spot","Commercial Family","PROF-LP01LSPO"
"COMF-1964","DuraMax Deco Petite Bent Tip","Commercial Family","PROF-EP01ICAN"
"COMF-2076","Appliance Microwave Oven Tubular","Commercial Family","PROF-LP01LPRA"
"COMF-1962","DuraMax Deco Flame","Commercial Family","PROF-EP01ICAN"
"COMF-1991","Silicone Coated Rough Service","Commercial Family","PROF-LP01IGLS"
"COMF-1984","Mini Reflector","Commercial Family","PROF-LP01LSPO"
"COMF-2011","Softone Candle B35","Commercial Family","PROF-EP01ICAN"
"COMF-2053","PAR38 Buglezzz","Commercial Family","PROF-LP01LSPO"
"COMF-1985","Reflector PAR36","Commercial Family","PROF-LP01LSPO"
"COMF-2052","Nightlight P45","Commercial Family","PROF-LP01IGLS"
"COMF-2006","Soft White","Commercial Family","PROF-EP01ISTD"
"COMF-2077","Appliance Oven Tubular","Commercial Family","PROF-LP01LPRA"
"COMF-1963","Deco Globe","Commercial Family","PROF-EP01IGLB"
"COMF-1957","Bug-A-Way","Commercial Family","PROF-LP01IGLS"
"COMF-1959","DuraMax Deco Blunt Tip","Commercial Family","PROF-EP01ICAN"
"COMF-1980","Reflector Colors","Commercial Family","PROF-LP01LSPO"
"COMF-2065","Reflector diam 50 mm","Commercial Family","PROF-LP01LSPO"
"COMF-2054","PAR38 Colours","Commercial Family","PROF-LP01LSPO"
"COMF-2003","Swimpool","Commercial Family","PROF-LP01IGLS"
"COMF-1961","Deco Bent Tip","Commercial Family","PROF-EP01ICAN"
"COMF-1969","Hi Intensity","Commercial Family","PROF-LP01IGLS"
"COMF-2025","InfraRed Industrial Heat Incandescent","Commercial Family","PROF-GX01IR"
"COMF-61662","CLASSICTONE Standard","Commercial Family","PROF-EP01ISTD"
"COMF-1981","Reflector Flood","Commercial Family","PROF-LP01LSPO"
"COMF-2005","DuraMax Soft White","Commercial Family","PROF-EP01ISTD"
"COMF-2069","Standard A-shape frosted","Commercial Family","PROF-EP01ISTD"
"COMF-2007","Traffic Signal","Commercial Family","PROF-LP01IGLS"
