id,name,reference,mandatory
"ETIM.V6.EF008867 A","EF008867 - Fluorescent colour","",""
"CAPTOP_MIN","Capacity Tolerance (Min)","",""
"COLCON10KH_NOM","Color Consistency 10000 h (Nom)","IF-500;IF-502",""
"ETIM.V7.EF009620 A","EF009620 - Type of UV radiation","",""
"COLCON10KH_MAX","Color Consistency 10000 h (Max)","IF-500;IF-502",""
"ETIM.V7.EF005381 L","EF005381 - With vacuum","",""
"DIMPOWER","Power consumption at dimming","",""
"GEARFAM","Gear family","",""
"ETIM.V7.EF005166 L","EF005166 - Suitable for cable tray","",""
"ETIM.V7.EF001358 L","EF001358 - Transformer integrated","",""
"ETIM.V7.EF012516 L","EF012516 - Socket with 3 contacts","",""
"XUCDM.COPY.FK_FG_LP_ENERGY_CERT","FG Energy Certifications","",""
"ETIM.V7.EF002337 A","EF002337 - Type of mirroring","",""
"ENRGYC24","California title 24","",""
"PLA-SON","Lamp Power On SON","",""
"LUMISTEPTM","Lumistep Dimming Time After Midpoint","",""
"ETIM.V7.EF000187 A","EF000187 - Voltage type","",""
"FADERATEDN","Fade Down Rate","",""
"ETIM.V7.EF009356 L","EF009356 - With radio control","",""
"CAPTOP_MAX","Capacity Tolerance (Max)","",""
"ETIM.V7.EF025754 L","EF025754 - With wheels","",""
"LM100K","Lumen maintenance at median useful life* 100000 h","",""
"ETIM.V6.EF000565 A","EF000565 - Material of fibre bundles","",""
"ETIM.V7.EF000955 L","EF000955 - Suitable for bus connection","",""
"Product.Creator.Initiator.Name","Global Initiator (name)","",""
"IMSImagesetIdentifier","IMSImagesetIdentifier","",""
"LM75K","Lumen maintenance at median useful life* 75000 h","",""
"DELTATNOM","Delta-T Normal Conditions","",""
"ACCPFC","Accessory PFC","",""
"PLA-SOX","Lamp Power On SOX","",""
"ETIM.V7.EF008786 L","EF008786 - Suitable for general lighting","",""
"XUCDM.COPY.IMSImagesetIdentifier","XUCDM.COPY.IMSImagesetIdentifier","",""
"RTLMPTYPGR","Lamp Type","",""
"ETIM.V7.EF000197 L","EF000197 - With movement sensor","",""
"XUCDM.COPY.GALImagesetIdentifier","XUCDM.COPY.GALImagesetIdentifier","",""
"ETIM.V7.EF005770 L","EF005770 - Suitable for moped","",""
"ELCPOWCNS","Electrical power consumption","",""
"LM50K","Lumen maintenance at median useful life* 50000 h","",""
"PLO-PL-L","Power Loss On PL-L","",""
"ETIM.V6.EF000416 R","EF000416 - Frequency","",""
"LSF16000","LSF 16000 h Rated","",""
"ETIM.V7.EF000278 L","EF000278 - With transformer","",""
"OUTPWIRLEN","Output Wire Length","",""
"vocab.assettype.minres.height","Minimum Resolution Height","",""
"COMPOUNDIND","Compund Indication","",""
"PLO-PL-C","Power Loss On PL-C","",""
"DLCQPL","DesignLights Consortium Qualified Product List","",""
"ETIM.V7.EF011868 A","EF011868 - Type of wiring","",""
"UVARE100H","UV-A Radiation 100Hr (IEC)","",""
"vocab.assettype.productrelated","Product Related","",""
"OVVOLTPR320","Overvoltage Protection 320Vac","",""
"ETIM.V7.EF006569 A","EF006569 - Surface finishing","",""
"ETIM.V7.EF001286 A","EF001286 - Supporting bracket","",""
"LIFE80SURVTC","Life To 80% Survivors At T-Case Life","",""
"MD System of Record Contact","MD System of Record Contact","",""
"FOLAHEIH","Filament Height H","",""
"BMEcat.FP.PRIMARYCFNAME","Primary Commercial Family","",""
"SCKTCODE","Socket Fit Code","",""
"ETIM.V7.EF000279 A","EF000279 - Type of transformer","",""
"LAMPEL25BN","Wattage EL 25°C base up, Nom.","",""
"LM35K","Lumen maintenance at median useful life* 35000 h","",""
"ETIM.V7.EF002442 A","EF002442 - Type of fastening","",""
"ETIM.V6.EF001470 N","EF001470 - Secondary voltage","",""
"ULTEMPCODE","UL Temperature Code","",""
"ETIM.V7.EF009621 L","EF009621 - Suitable for air disinfection","",""
"ETIM.V7.EF007793 L","EF007793 - Suitable for surface mounting","",""
"STILTTOP","Standard tilt angle posttop","IF-1151;IF-13265;IF-13280;IF-2093;IF-1149;IF-1046;IF-7125175;IF-2073;IF-12357;IF-3100;IF-2095;IF-3114;IF-1254;IF-1248;IF-2088;IF-1145;IF-1156;IF-1169;IF-7207876;IF-2079;IF-1226;IF-2084;IF-1003;IF-1152;IF-1187;IF-1227;IF-2149;CAT-6698971;IF-13268;IF-1143;IF-2092;IF-2065;IF-7100388;IF-1144;IF-1253;IF-1313;IF-1084;IF-1087;IF-1155;IF-1154;IF-2064;IF-1171;IF-1147;IF-1036;IF-2081;IF-1107;IF-7007820;PG-44551;IF-2094;IF-2078;IF-1188;IF-1047;PG-44555;PG-44543;IF-1038;IF-2097;IF-1170;IF-1251;IF-1309;IF-1150;CAT-44366;IF-2080;CAT-316024;IF-1035;IF-1165;IF-2086;IF-1249;IF-1244;IF-2087;IF-2085;IF-1048;IF-3066836;IF-1252;IF-6963622","IF-1226;IF-1253;PG-44551;PG-44555;CAT-44366;IF-1165;IF-1244;IF-3066836"
"OPCIRCVLTDC_MAX","Open Circuit Voltage (DC) (Max)","",""
"TAMBIENT_NOM","T-Ambient (Nom)","",""
"UNITB","Unity type B","",""
"ETIM.V7.EF006009 L","EF006009 - With mounting material","",""
"ETIM.V7.EF008178 L","EF008178 - Suitable for planes","",""
"HEIGHT","Height","",""
"FAILL80B10","Abrupt failure value at L80B10","",""
"WCSALFADS","Auto Insert (ALF/ADS) Wire Cross Section","",""
"ETIM.V7.EF008325 L","EF008325 - With end piece","",""
"DEPR1000","UV Depreciation at 1000 h","IF-545",""
"ETIM.V7.EF006205 A","EF006205 - Special application","",""
"Product Cluster","Product Cluster","",""
"LMEFFPW_MAX","Luminous Efficacy (rated) (Max)","IF-518;IF-587;MPG-27444;IF-525;IF-517;IF-545;IF-528;CAT-27442;IF-524;IF-515;IF-548;IF-586;IF-584;IF-523;PG-26542;IF-530;IF-505;IF-6600762;IF-512;IF-521;IF-571;IF-514;IF-513;MPG-9858;IF-520;IF-516;IF-572;MPG-9857;IF-526;IF-531","CAT-27442"
"ETIM.V7.EF007942 L","EF007942 - With space for gear","",""
"LMEFFPW_MIN","Luminous Efficacy (rated) (Min)","IF-587;IF-523;IF-518;IF-517;IF-524;MPG-27444;IF-525;IF-528;CAT-27442;IF-515;PG-26542;IF-548;IF-586;IF-6600762;IF-584;IF-530;IF-505;IF-571;IF-521;IF-512;IF-513;MPG-9857;IF-514;MPG-9858;IF-520;IF-516;IF-572;IF-545;IF-531;IF-526","CAT-27442"
"ETIM.V7.EF006644 L","EF006644 - Suitable for wall mounting","",""
"LAMCEL60","Lamp Current EL at ±60% power","",""
"ETIM.V7.EF000073 A","EF000073 - Suitable for","",""
"UNITA","Unity type A","",""
"ETIM.V7.EF000581 L","EF000581 - With starter insertion","",""
"RAL","RAL color","",""
"ETIM.V6.EF006760 L","EF006760 - Suitable for built-in mounting","",""
"LP_CSI_EOC8","Displayed Order code","",""
"ETIM.V6.EF007847 A","EF007847 - Main lamp","",""
"ETIM Description","ETIM Description","",""
"IPV","Ingress protection code","MPG-6709949;IF-2206;IF-2258;IF-7125175;IF-12372;IF-1854;IF-2178;IF-1444;IF-1673;IF-2265;CAT-6730375;IF-2199;IF-1472;IF-2000;IF-2669;PG-44371;IF-1005;IF-12361;MPG-6732317;IF-2255;IF-2273;IF-1993;MPG-6732311;PG-44460;IF-1487;IF-1492;IF-2191;IF-1416;PG-6961847;PG-7100892;PG-44432;IFS-15391;PG-6744832;IF-1032;IF-1873;IF-2253;MPG-44531;PG-44434;PG-44448;IF-2195;IF-2217;IF-2580;IF-1996;IF-1048;IF-1264;IFS-15287;IF-1011;IF-1904;IF-7125180;IF-6965739;IF-2249;CAT-316024;IF-7125186;IF-1856;IF-3084;PG-6709955;IF-1860;MPG-6993641;IFS-10780;IFS-15278;PG-44555;IFS-15381;IF-1863;IF-2427;IF-2197;IF-9921;IF-2369;IF-2034;IF-2664;IF-1861;IF-2363;IF-2236;PG-6699025;PG-44557;IF-2356;CAT-6702460;MPG-44487;PG-44454;PG-44440;IF-3086;PG-7146660;CAT-44365;IF-2368;PG-44609;IF-1490;MPG-44488;CAT-44368;IF-2366;PG-44547;IF-1018;MPG-6861829;IF-2042;IF-3083;IF-1046;IF-3158116;IF-2245;PG-44549;IF-1353;IF-1903;IF-1035;IF-2510;IF-1469;MPG-44584;IF-1482;IF-2673;IF-12363;IF-1602;IF-7100388;IF-13268;IF-45781;IFS-15242;IF-2198;PG-44464;MPG-44493;IF-2261;IF-7125268;MPG-44585;IF-1994;IF-2190;IF-2272;PG-44478;CAT-14999;PG-44573;IF-2348;PG-44551;IF-12358;IF-2270;PG-44456;PG-44480;IF-1870;PG-44567;IF-2622;IF-1425;IFS-15392;IF-2262;IF-2660;PG-44579;IF-13265;IF-1867;IF-2222;IF-2355;IF-2271;IF-1676;IFS-15276;IFS-15384;IF-2046;IF-1457;IF-1266;IF-1486;IF-2193;IFS-15389;MPG-44411;IF-2216;IF-1864;IF-2200;IF-1473;IF-13246;IF-2203;CAT-6698971;IF-7207876;IF-1506;IF-1474;IF-2221;IF-2274;IF-2354;IF-2357;IF-1997;PG-44559;PG-7099782;IF-2189;IF-2211;IF-2248;IFS-15288;IF-1871;IF-2344;PG-44430;IF-1906;IF-9919;PG-44545;IF-2259;IF-1470;IF-1465;IF-1015;PG-44452;IFS-15279;IFS-15387;IF-1038;IF-1377;IF-1481;IF-2666;IF-2668;IF-1488;IF-13244;IF-1674;IF-1037;IF-2219;IF-1675;IF-1426;IF-1471;IF-2257;IF-6965738;IF-2186;IF-1868;IF-32590;IF-2365;MPG-167295;IFS-15290;IF-2194;IF-2235;PG-44472;CAT-44366;IF-2220;IF-2264;IF-1475;IF-1855;PG-44468;IF-2667;IF-1862;IF-1995;IF-2625;PG-44575;IF-2247;IF-1857;IF-1466;IFS-15385;IF-1464;IF-2201;IF-2260;IF-3085;IF-13280;IF-2430;IF-1866;IF-1376;IFS-15388;CAT-44367;IF-1865;IF-1672;IFS-15286;IF-2210;IF-2244;IF-1019;IF-1447;IF-1483;IF-3115;IF-1428;IF-12357;IFS-15277;IF-1603;IF-2360;IF-1902","PG-44460;PG-44432;MPG-44531;PG-44434;PG-44448;IF-3084;PG-44555;PG-44557;MPG-44487;PG-44454;PG-44440;CAT-44365;PG-44609;MPG-44488;PG-44547;PG-44549;MPG-44584;PG-44464;MPG-44493;MPG-44585;PG-44478;PG-44573;PG-44551;PG-44456;PG-44480;PG-44567;PG-44579;MPG-44411;PG-44559;PG-44430;PG-44545;PG-44452;PG-44472;CAT-44366;PG-44468;PG-44575;IF-3085"
"ETIM.V7.EF012195 L","EF012195 - With flame detection","",""
"ETIM ID","ETIM ID","",""
"LI10PREL1","Life to 10% fail Preheat, EL1h","",""
"TAMBIENT_MIN","T-Ambient (Min)","",""
"ETIM.V7.EF009473 L","EF009473 - Suitable for DC-voltage (primary side)","",""
"NLP2","Number of light sources 2","",""
"ETIM.V7.EF005859 L","EF005859 - Suitable for vessel","",""
"ETIM.V7.EF000434 L","EF000434 - Self-adhesive","",""
"LMEFFPW_NOM","Luminous Efficacy (rated) (Nom)","MPG-27444;IF-587;IF-525;IF-517;IF-545;IF-528;PG-26542;IF-523;CAT-27442;IF-524;IF-548;IF-584;IF-586;IF-515;IF-530;IF-505;MPG-9857;IF-514;IF-512;IF-513;IF-571;IF-6600762;MPG-9858;IF-572;IF-520;IF-516;IF-521;IF-531;IF-518;IF-526","CAT-27442"
"Indoor_PHO","Base Model","",""
"SWITCHING","Suitable for random switching","","CAT-44365 (Prof. Europe Indoor Luminaires);PG-44460 (Dust/ water protected LED);IF-3085 (LuxSpace Accent RS730B-RS752B);PG-44422 (Light-line (with trunking) LED);PG-44434 (Free standing floor LED);PG-44464 (High-bay/ low-bay LED);PG-44448 (Surface-mounted LED);IF-1415 (LuxSpace gen2 DN570B-DN572B);PG-44430 (Free standing desk LED);PG-44452 (Suspended LED);IF-3084 (GreenSpace Accent RS340B-RS343B);IF-1183 (Pentura Mini BN130C-BN133C);PG-44456 (Wall LED);PG-44480 (Spotlight/ projector LED);PG-44609 (Cleanroom LED);PG-44472 (Gridlight LED)"
"ASYMBEAM","Asymmetric beam angle","",""
"ConditionAttribute","ConditionAttribute","",""
"ETIM.V7.EF003532 L","EF003532 - Suitable for outdoor use","",""
"ETIM.V6.EF004280 N","EF004280 - Lamp power filament 1","",""
"SEND_TO_TRANSLATION_DEFAULT","Product sent to translation?","",""
"ETIM.V7.EF000359 A","EF000359 - Type of stand/base","",""
"PSY-SOXE","System Power On SOX-E","",""
"ETIM.V7.EF006328 L","EF006328 - With tripod holder","",""
"INPOVVOLT","Input overvoltage resistance","",""
"ETIM.V7.EF000289 L","EF000289 - With socket outlet","",""
"TSTORAGEGE_MIN","T-Storage (Gear) (Min)","",""
"CALCURRENT","Calibration Current","",""
"4941","Unit Description","",""
"CIRCUITOPT","Circuit option","",""
"ETIM.V7.EF021180 L","EF021180 - Suitable for ceiling mounting","",""
"ETIM.V6.EF007694 L","EF007694 - Fit for monitor workplace","",""
"ETIM.V7.EF006635 L","EF006635 - Suitable for explosion proof luminaires","",""
"WIRING","Internal wiring","",""
"SEND_TO_TRANSLATION","Product sent to translation?","",""
"TSTORAGEGE_MAX","T-Storage (Gear) (Max)","",""
"LIFEYEA120","Life with 3h/day use@120V[yrs]","",""
"DEPR500","UV Depreciation at 500 h","IF-545",""
"ETIM Feature ID","ETIM Feature ID","",""
"PSY-PLC","System Power On PL-C","",""
"ENRGYSTAR","Energy star mark","",""
"ETIM.V7.EF003693 L","EF003693 - Suitable for fluorescent lamp","",""
"LGEARF1","Length Gear F1","",""
"ETIM.V7.EF009352 L","EF009352 - Suitable for traverse mounting","",""
"pho.input_voltage","Lamp Input Voltage","SC-9314",""
"DESIGNGR","Design","",""
"ETIM.V7.EF006433 L","EF006433 - Suitable for low voltage luminaires","",""
"vocab.extension.identifier","Extension Identifier","",""
"MAXDIMLVL","Maximum dim level","",""
"ETIM.V7.EF006428 A","EF006428 - Wire colour","",""
"PINDSR_NOM","Pin Distance R (Nom)","",""
"Package Quantity","Package Quantity","",""
"LGEARF2","Length Gear F2","",""
"LOAC_NOM","Overall Length C (Nom)","","IF-6600762 (Scene Switch);MPG-9948 (LED Lamps);IF-571 (With reflector);IF-570 (LED tubes);IF-572 (Without reflector)"
"ETIM.V6.EF001229 L","EF001229 - Can be coupled","",""
"FOOTNOTEHID3","Footnotes HID 3","",""
"ETIM.V7.EF009472 L","EF009472 - Suitable for constant voltage","",""
"ETIM.V6.EF008300 N","EF008300 - Number of LEDs","",""
"SPR","Scotopic/photopic lumen ratio","IF-1154;IF-1187;IF-12357;IF-1143;IF-1084;IF-1036;IF-1152;IF-1087;PG-44543;IF-1249;IF-13280;IF-1155;IF-1144;IF-13265;IF-1151;IF-1171;IF-3098;IF-3099;IF-1253;IF-1047;IF-2081;IF-1251;IF-7007820;IF-6963622;IF-1188;IF-1150;IF-1226;IF-1165;IF-1048;IF-1252;IF-2080;IF-1107;IF-1038;PG-44551;IF-1244;PG-44555;IF-1149;IF-1046;IF-1035;IF-3114;IF-1227;IF-1169;IF-1170;IF-3100;IF-1156;IF-1145;IF-1254;IF-1248;IF-1147",""
"LOAC_MAX","Overall Length C (Max)","",""
"vocab.assettype.nonimageURL","NonImageURLBuild","",""
"ETIM.V7.EF002359 L","EF002359 - Suitable for torches","",""
"ETIM.V7.EF002361 L","EF002361 - Suitable for traffic lights","",""
"LOAC_MIN","Overall Length C (Min)","",""
"LGEARF3","Length Gear F3","",""
"ETIM.V7.EF005036 L","EF005036 - With connection cable","",""
"ETIM.V7.EF009628 L","EF009628 - Suitable for water disinfection","",""
"LAMCUREM_NOM","Lamp Current (EM) (Nom)","",""
"LINSB_MIN","Insertion Length B (Min)","",""
"PINDSR_MAX","Pin Distance R (Max)","",""
"ETIM.V7.EF005500 L","EF005500 - With protective cover","",""
"LINSB_NOM","Insertion Length B (Nom)","",""
"PINDSR_MIN","Pin Distance R (Min)","",""
"ETIM.V7.EF000567 L","EF000567 - With colour disc","",""
"TCLIFEGEAR_MAX","T-Case Lifetime (Gear) (Max)","",""
"LINSB_MAX","Insertion Length B (Max)","",""
"ETIM.V7.EF002362 L","EF002362 - Suitable for variable road signs","",""
"PSY-PLS","System Power On PL-S","",""
"LAMCUREM_MAX","Lamp Current (EM) (Max)","",""
"CAPDIAMV_MIN","Cap Diameter V (Min)","",""
"vocab.assettype.imagetypealias","ImageTypeAliasCreate","",""
"INPOWANSI","Input power (ANSI)","",""
"ETIM.V6.EF002619 L","EF002619 - Closed luminaire required","",""
"CAPDIAMV_NOM","Cap Diameter V (Nom)","",""
"vocab.assettype.minres.width","Minimum Resolution Width","",""
"CRI","Init. Color Rendering Index","","PG-44460 (Dust/ water protected LED);PG-44579 (Special LED);PG-44567 (Floodlight underwater LED);IF-1226 (Ocean Road LED BRP708);IF-1253 (ClearFlood BVP650/651);PG-44434 (Free standing floor LED);IF-3084 (GreenSpace Accent RS340B-RS343B);PG-44448 (Surface-mounted LED);PG-44547 (Road lighting LED);CAT-44365 (Prof. Europe Indoor Luminaires);PG-44575 (Security LED);PG-44559 (Floodlight surface LED);PG-44452 (Suspended LED);IF-3098 (LumiStreet Small BGP/BGS212/213);IF-1165 (Vital LED BGP670);PG-44555 (Tunnel or underpass LED);PG-44543 (Bollard LED);PG-44430 (Free standing desk LED);PG-44571 (Horticulture LED);PG-44609 (Cleanroom LED);CAT-44366 (Prof. Europe Outdoor Luminaires);PG-44422 (Light-line (with trunking) LED);PG-44583 (Other LED);PG-44472 (Gridlight LED);PG-44551 (Street lantern LED);PG-44563 (Floodlight recessed LED);PG-44464 (High-bay/ low-bay LED);PG-44418 (Batten LED);IF-1415 (LuxSpace gen2 DN570B-DN572B);PG-44456 (Wall LED);IF-1244 (CoreLine Tempo BVP110/120/130);IF-3085 (LuxSpace Accent RS730B-RS752B);IF-1183 (Pentura Mini BN130C-BN133C);PG-44480 (Spotlight/ projector LED)"
"ETIM.V7.EF007790 L","EF007790 - Suitable as inspection light","",""
"CAPDIAMV_MAX","Cap Diameter V (Max)","",""
"ETIM.V7.EF004275 L","EF004275 - Suitable for emergency lighting","",""
"vocab.assettype.maxres.width","Maximum Resolution Width","",""
"OUTPOWSEL","Output power selection","",""
"vocab.assettype.maxres.height","Maximum Resolution Height","",""
"PLO-PL-T","Power Loss On PL-T","",""
"MNSVOLTPF","Mains voltage performance (DC)","",""
"BEAMANGLMP_NOM","Beam Angle (Nom)","IF-568;IF-547;IF-585;IF-587;CAT-9326;MPG-9857;IF-571;IF-505;IF-502;IF-503;IF-540;IF-541;IF-539;IF-542","IF-568;IF-585;IF-587;IF-571"
"DD-01-VALUE","Dim. drawing 01 Value","",""
"ETIM.V7.EF006432 L","EF006432 - Suitable for high voltage luminaires","",""
"ETIM.V6.EF002368 A","EF002368 - Filament shape","",""
"FK_FG_LP_CERTIFICATION","FG Certification","",""
"ETIM.V7.EF006760 L","EF006760 - Suitable for built-in mounting","",""
"COMF.BU.ID","CommercialFamily - ID of BU","",""
"XUCDM.COPY.FK_FG_LP_CERTIFICATION","FG Energy Certification","",""
"PLO-PL-S","Power Loss On PL-S","",""
"ETIM.V7.EF006426 L","EF006426 - With cable tray","",""
"COLLAMP","Light source color","IF-1423;IF-2270;IF-2382;IF-12372;PG-44460;IF-2353;IF-1630;IF-2051;IF-12361;IF-2000;IF-2273;IF-1331;IF-1631;IF-2229;IF-2268;IF-1489;IF-1993;IF-2050;PG-44434;IF-2094;IF-2079;IF-1933;PG-6744832;IF-6960802;IF-1386;PG-44432;PG-44448;IF-1524;IF-1005;IF-1623;PG-7146660;IF-2082;IF-1869;IF-1043;IFS-15391;IF-1422;IF-32584;IF-1264;IFS-15287;IF-1378;IF-6965738;PG-6709955;CAT-316024;IF-6965739;IF-3102;IF-1492;IF-2055;IFS-15278;MPG-6993641;PG-44543;PG-44555;IF-2369;IF-2095;IF-2427;IFS-15381;IF-2074;MPG-167295;IF-2230;PG-44609;IF-1372;PG-6699025;IF-1424;IF-1325;IF-2363;PG-44563;IF-3082;CAT-6702460;FP-929000116903;CAT-44365;IF-1663;IF-2153;IF-1421;IF-2347;CAT-6698971;IF-1413;IF-1507;IFS-10780;IF-2356;IF-1057;PG-44440;IF-2048;IF-1311;IF-1469;IF-1039;IF-13268;PG-44464;IF-1482;PG-44422;IF-61619;IF-1931;IF-1932;IF-12363;IF-2092;IF-1017;IF-2384;IF-2091;IF-45781;IF-1415;IF-1352;IF-2231;IF-1903;IFS-15242;IF-1419;IF-2080;PG-44551;PG-44456;IF-1874;PG-44480;IF-2049;IF-12358;IF-2226;IF-1330;IF-1179;PG-44567;IF-1374;IF-2381;IF-2097;PG-44418;IF-2232;IF-1442;IF-1870;IF-2359;IFS-15392;IF-2383;IF-1409;IF-2355;IF-1509;IF-13265;IF-1486;IFS-15389;IF-1387;IF-1420;PG-44468;IF-1266;IFS-15384;IF-2228;IF-1040;IF-6963150;IF-32585;IF-1924;IF-1622;IF-1908;IF-1506;IF-2274;IF-2154;IF-2084;IF-2342;PG-44559;IF-1310;IF-1312;IF-2357;PG-44547;IFS-15288;PG-44476;IFS-15276;IF-1314;IF-1465;IF-1015;PG-44452;IF-2003;IF-1920;IF-2064;IF-9919;IFS-15387;IFS-15279;IF-2354;IF-13246;IF-1495;PG-44430;IF-2227;IF-2343;IF-1309;IF-2352;PG-44438;MPG-6861829;IFS-15290;MPG-44534;IF-1494;IF-2365;IF-1914;CAT-44366;IF-2065;IF-2379;IF-2378;PG-7100902;IF-2380;IF-1930;IF-3081;IF-1329;PG-44472;IF-2385;IF-13244;IF-2233;IF-2335;IFS-15286;IF-13280;IF-1327;IFS-15385;IF-1480;IF-1466;IF-1321;IF-12357;IF-2375;IF-1003;IF-1923;IF-1313;IFS-15388;IF-2387;IF-1444;IF-9918;PG-7144779;IF-2339;PG-44446;IFS-15277;IF-2386;IF-7207876;IF-2078","PG-44460;PG-44434;PG-44432;PG-44448;PG-44543;PG-44555;PG-44609;PG-44563;IF-3082;CAT-44365;PG-44440;PG-44464;PG-44422;IF-1415;PG-44551;PG-44456;PG-44480;PG-44567;PG-44418;PG-44468;PG-44559;PG-44547;PG-44476;PG-44452;PG-44430;PG-44438;MPG-44534;CAT-44366;PG-44472;PG-44446"
"NTCRESTHR","NTC resistance threshold","",""
"ETIM.V7.EF008331 L","EF008331 - Xenon","",""
"SO-CCXD25_MAX","Chromaticity Coordinate X (SO) (Max)","IF-548",""
"LAMV","Lamp Voltage","",""
"SO-CCXD25_MIN","Chromaticity Coordinate X (SO) (Min)","IF-548",""
"ETIM.V7.EF001202 L","EF001202 - With switch","",""
"REFLFIN","Reflector Finish","",""
"ETIM.V7.EF000282 A","EF000282 - Type of grid","",""
"MNSVOLTOP","Mains voltage operation (DC)","",""
"TAMBIENT_MAX","T-Ambient (Max)","",""
"vocab.assettype.exportfileidentifier","Export File Identifier","",""
"ETIM.V7.EF002328 L","EF002328 - Suitable for refrigerator","",""
"TIMRUNMA_MAX","Run Time (Max)","",""
"Test1","Test1","",""
"pho.lamp_status","Lamp status","SC-9314",""
"PHOTORISK","Photobiological risk","",""
"ETIM.V7.EF003696 L","EF003696 - Short-circuit protected","",""
"CLRP","Parts color","",""
"ETIM.V7.EF000483 L","EF000483 - With remote control","",""
"ETIM.V6.EF000148 L","EF000148 - With connection cord and plug","",""
"LUMOLD","Luminance (Per OLED)","",""
"WARRANTY","Warranty period","","PG-44543 (Bollard LED);CAT-44366 (Prof. Europe Outdoor Luminaires);PG-44555 (Tunnel or underpass LED);IF-1165 (Vital LED BGP670);IF-3084 (GreenSpace Accent RS340B-RS343B);IF-3098 (LumiStreet Small BGP/BGS212/213);IF-1244 (CoreLine Tempo BVP110/120/130);IF-1253 (ClearFlood BVP650/651);CAT-44365 (Prof. Europe Indoor Luminaires);PG-44551 (Street lantern LED);PG-44464 (High-bay/ low-bay LED);IF-3067804 (DigiStreet BGP760-BGP763);IF-1226 (Ocean Road LED BRP708);IF-3066836 (TubeLine BGP360)"
"phoopt.surface85","Surface 85","IF-2079;IF-1313;IF-1147;IF-6473048;IF-2355;IF-61617;IF-1244;IF-1164;IF-1930;IF-1017;IF-1331;IF-2078;IF-1035;IF-1420;IF-3110;IF-2093;IF-1022;IF-1329;IF-13268;IF-1128;IF-6965735;SC-9314;IF-1378;IF-1193;IF-1237;IF-1127;IF-1933;IF-3107;IF-1931;IF-1121;IF-49752;IF-3100;IF-1130;IF-1190;IF-1103;IF-1311;IF-13246;IF-1170;IF-3097;IF-1003;IF-1048;IF-3096;IF-1242;IF-1252;IF-32579;IF-1107;IF-2065;IF-1422;IF-3109;IF-1325;IF-1457;IF-3114;IF-1021;IF-1191;IF-1151;IF-3108;IF-1615;IF-2064;IF-1419;IF-1314;IF-1024;IF-1020;IF-1352;IF-1169;IF-1015;IF-1251;IF-12358;IF-1157;IF-1132;IF-1189;IF-1330;IF-13265;IF-1186;IF-1423;IF-1011;IF-1387;IF-1187;IF-1226;IF-1315;IF-1084;IF-1192;IF-1228;IF-32578;IF-2154;IF-3103;IF-1144",""
"SO-CCXD25_NOM","Chromaticity Coordinate X (SO) (Nom)","IF-548",""
"CLRCH","Color choice","",""
"ETIM.V7.EF009353 L","EF009353 - Suitable for pedestal/floor mounting","",""
"Calc-Desc-Short-Indoor","Calc-Desc-Short-Indoor","",""
"PWRCONSRNG_NOM","Electrical Power Consumption (Nom)","","CAT-9323 (LED Systems)"
"Designation-Char-Indoor","Designation-Char-Indoor","",""
"ETIM.V7.EF002340 L","EF002340 - Sun tanning lamp","",""
"ETIM.V7.EF002363 L","EF002363 - Suitable for rail traffic","",""
"Designation-Char-Acc-Indoor","Designation-Char-Acc-Indoor","",""
"PWRCONSRNG_MAX","Electrical Power Consumption (Max)","","CAT-9323 (LED Systems)"
"asset.colors","asset.colors","",""
"PWRCONSRNG_MIN","Electrical Power Consumption (Min)","","CAT-9323 (LED Systems)"
"ETIM.V7.EF003698 L","EF003698 - With secondary automatic circuit breaker","",""
"LAMPCUR127","Lamp Current at 127V","",""
"DALSTAND","DALI Standard","",""
"UDX-PCS-WGHT","Gross Weight (Piece)","",""
"ETIM.V7.EF001278 A","EF001278 - Type of indicator","",""
"PRT-PL-L","Rated Lamp Power On PL-L","",""
"PLCLR","Pole color","","PG-44537 (Poles)"
"ETIM.V7.EF006682 L","EF006682 - Suitable for other lighting truck","",""
"ETIM.V7.EF004295 L","EF004295 - Variable distance of electrical units","",""
"SUPPLIER_PID","Supplier product id","",""
"ETIM.V7.EF001353 L","EF001353 - UV-protection","",""
"PRT-CPOCDM","Rated Lamp Power On CPO-CDM","",""
"IGNATT","Ignition Attempts","",""
"ETIM.V7.EF002635 L","EF002635 - Suitable for matrix information boards","",""
"Calc-Desc-Short-OutDoor-Acc","Calc-Desc-Short-OutDoor-Acc","",""
"ETIM.V7.EF000568 A","EF000568 - Type of colour disc","",""
"CUSTOMS_NUMBER","CUSTOMS_NUMBER","",""
"BULBSHAPE","Bulb Shape","IF-525;IF-518;IF-529;MPG-9856;IF-61693;CAT-9325;IF-570;IF-547;IF-534;MPG-9857;IF-571;IF-519;MPG-9858;IF-524;IF-526;IF-528;IF-530;CAT-9326;IF-545;IF-572;IF-6600762;MPG-9948;IF-517;IF-516;IF-532;IF-531;IF-511","MPG-9856;CAT-9325;MPG-9857;IF-571;IF-572;MPG-9948"
"DESCRIPTION_LONG","Description long","",""
"ETIM.V7.EF000139 A","EF000139 - Surface protection","",""
"Calc-Desc-Short-Indoor-Acc","Calc-Desc-Short-Indoor-Acc","",""
"OUTPTAWG","Output Wire Gauge","",""
"ETIM.V7.EF003695 L","EF003695 - With ignitor","",""
"WOAI_MIN","Inner Width I (Min)","",""
