id,name,reference,mandatory
"ETIM.V7.EF011875 A","EF011875 - Power supply energy efficiency index (EEI)","",""
"HarmonizationLookupTableID","HarmonizationLookupTableID","",""
"XUCDM.COPY.Product.Description","XUCDM.COPY.Product.Description","",""
"US-AMBIENTTEMP-MAX","Max Ambient Temp","",""
"BEAMANGLE","Beam angle of light source","IF-1387;IF-32598;IF-1870;IF-1374;IF-6473048;IF-7125180;IF-1998;IF-1145;IF-3081;IF-1137;IF-1372;IF-1104;IF-1128;IF-9921;CAT-44365;PG-44470;IF-1150;CAT-6702460;IF-1149;PG-44466;IF-1186;IF-2000;PG-44478;IF-1170;IF-1525;IF-45781;IF-1267;IF-1060;IF-1098;IF-1313;IF-1087;IF-12363;PG-44468;IF-1121;IF-1053;IF-1122;IF-1057;IF-1486;IF-1227;IF-3083;IF-1993;IF-1083;IF-1040;IF-1579;IF-1908;IF-1144;IF-1039;PG-44474;PG-44476;IF-1035;IF-7150974;IF-1197;IF-1989;IF-1242;IF-1036;IF-1021;IF-1194;IF-2025;IF-1311;IF-1158;IF-1152;IF-1202;IF-1143;IF-2429;IF-1043;IF-1228;IF-2003;IF-6963622;IF-1994;IF-1108;IF-1069;IF-7125186;IF-1171;IF-2431;IF-2027;IF-1198;IF-1258;IF-1201;IF-1378;IF-1106;IF-1107;IF-1038;IF-1250;IF-1195;IF-1157;PG-7144779;IF-1056;CAT-316024",""
"ETIM.V7.EF004285 N","EF004285 - Max. electrical capacity per phase","",""
"XUCDM.COPY.Marketing_Status","XUCDM.COPY.Marketing_Status","",""
"ETIM.V7.EF000315 A","EF000315 - Connection type primary side","",""
"GEAR2","Gear 2","",""
"MAGNET","Magnet","",""
"ETIM.V7.EF000232 N","EF000232 - Max. connection power","",""
"FRMCLR","Frame color","",""
"ALPHANUMERIC.SRC","Alphanumeric Source Selection","",""
"OPFREQ_MIN","Operating Frequency (Min)","",""
"OPFREQ_NOM","Operating Frequency (Nom)","",""
"Application Area Level","Application Area Level","",""
"ETIM.V7.EF006434 N","EF006434 - Max. diameter luminaire","",""
"Alphanumeric","Alphanumeric","",""
"ETIM.V7.EF023518 N","EF023518 - Built-in height/depth","",""
"LUMFLUXMAX","Luminous Flux (Max)","",""
"XUCDM.COPY.ProductType","XUCDM.COPY.ProductType","",""
"OPFREQ_MAX","Operating Frequency (Max)","",""
"XUCDM.COPY.ProductDetailPageURL","XUCDM.COPY.ProductDetailPageURL","",""
"RECFUSE","Recommended Fuse Value","",""
"ETIM.V7.EF006427 A","EF006427 - Material wire","",""
"LP_CSI_EOP_FULL_EOC","Full EOC","",""
"LastModifiedDate","xUCDM_LastModifiedDate","",""
"ETIM.V7.EF002423 A","EF002423 - Lamp type","",""
"LP_CSI_EOC8.SRC","Order Code Source Selection","",""
"PLO-SOX","Power Loss On SOX","",""
"ETIM.V7.EF000943 N","EF000943 - Built-in diameter","",""
"RFI55015","EMI 9 kHz ... 30 MHz","",""
"pho.lumen_efficiency","Lumen Efficiency","SC-9314",""
"ETIM.V7.EF007586 N","EF007586 - Number of arms of the top-piece","",""
"DIAMETER","Diameter","",""
"DRIVERINCL","Driver included","","PG-44579 (Special LED);PG-44567 (Floodlight underwater LED);PG-44468 (Downlight LED);IF-1226 (Ocean Road LED BRP708);PG-44460 (Dust/ water protected LED);IF-1253 (ClearFlood BVP650/651);IF-3098 (LumiStreet Small BGP/BGS212/213);PG-44547 (Road lighting LED);PG-44571 (Horticulture LED);IF-3084 (GreenSpace Accent RS340B-RS343B);PG-44434 (Free standing floor LED);PG-44575 (Security LED);PG-44448 (Surface-mounted LED);PG-44559 (Floodlight surface LED);PG-44476 (Recessed spotlight LED);PG-44430 (Free standing desk LED);PG-44452 (Suspended LED);IF-1165 (Vital LED BGP670);PG-44555 (Tunnel or underpass LED);PG-44543 (Bollard LED);PG-44422 (Light-line (with trunking) LED);PG-44583 (Other LED);PG-44609 (Cleanroom LED);PG-44472 (Gridlight LED);PG-44551 (Street lantern LED);PG-44563 (Floodlight recessed LED);PG-44418 (Batten LED);IF-1244 (CoreLine Tempo BVP110/120/130);IF-1415 (LuxSpace gen2 DN570B-DN572B);PG-44464 (High-bay/ low-bay LED);PG-44440 (Recessed functional LED);IF-3085 (LuxSpace Accent RS730B-RS752B);IF-1183 (Pentura Mini BN130C-BN133C);PG-44480 (Spotlight/ projector LED);PG-44456 (Wall LED)"
"ETIM.V7.EF012154 L","EF012154 - Dimming DALI","",""
"Filter Key static ID","Filter Key static ID","",""
"XUCDM.COPY.FK_FG_LP_LUM_SPECIALS","FG Specials","",""
"SECSHCIRCU","Secondary Short Circuit Current","",""
"ETIM.V7.EF009056 N","EF009056 - Number of batteries","",""
"XUCDM.COPY.FK_FG_LP_LUM_NLAMPS","FG Number of lamps","",""
"US-ADAPTER","Adapter","",""
"ETIM.V7.EF006423 L","EF006423 - Covering of the luminaire with thermally insulating material possible","",""
